Indicator,Horizon,Mean_Return,Sharpe,Accuracy,Beta,t_beta_NW,p_value,R2,N
rsi_overbought,1,0.00039292729364075,0.06789131188991875,0.5099502487562189,0.0007480269479895663,2.3425649731617844,0.019151699042722885,0.00021681629544945125,402
rsi_overbought,3,0.0004738654663920425,0.045938032599524226,0.48756218905472637,0.0014780586449412002,1.9587057980764115,0.050147251038484546,0.00032877469988901176,402
rsi_overbought,5,0.0005051921374961422,0.038823733782991705,0.44776119402985076,0.0021494187261941154,1.9177973267482729,0.05513671487778165,0.00043867343976611295,402
rsi_overbought,7,-9.510548046259119e-05,-0.00628173606870526,0.3781094527363184,0.0021298584946264996,1.4158364223942517,0.15682340295279312,0.0003251956206006268,402
rsi_overbought,10,-0.0012071852501814129,-0.06266293062223341,0.34328358208955223,0.0018764042781664017,0.9040859420106098,0.36594983207423937,0.00018438571342083154,402
rsi_bearish_divergence,1,-4.045975245233219e-05,-0.007104650497827949,0.4843205574912892,0.0002945825322566557,1.0309078537029146,0.3025840333079547,4.667220648313375e-05,574
rsi_bearish_divergence,3,0.0001774309275260549,0.015578745120774265,0.44076655052264807,0.0011956689877358913,1.8726072840643544,0.061122634746713776,0.00029862066309571667,574
rsi_bearish_divergence,5,0.0007560749015957846,0.04950706502169648,0.4634146341463415,0.002486148202776788,2.6812222358122364,0.007335378304187557,0.0008145769647865952,574
rsi_bearish_divergence,7,0.0007935346071499907,0.042841121013199354,0.45818815331010454,0.003165007286914032,2.6833411361411343,0.007289059648755348,0.0009967066874481123,574
rsi_bearish_divergence,10,-0.0006401360138517134,-0.030428284049134342,0.39092495636998253,0.0025514442074699266,1.6779988430091295,0.09334732488114486,0.00047242254730772704,573
rsi_bullish_divergence,1,0.0024882507211045897,0.10404895807134973,0.5771428571428572,0.0022386792129549943,1.3363877247492577,0.18142257644348136,0.0008765352078489164,175
rsi_bullish_divergence,3,0.004813344072412684,0.1296389673451104,0.6057142857142858,0.004006610718717582,1.242090986996805,0.2142029935949724,0.001090441993128688,175
rsi_bullish_divergence,5,0.007163816631406083,0.15829314090122587,0.6,0.005806288238760664,1.355295661187658,0.17532337682680144,0.0014448897011455353,175
rsi_bullish_divergence,7,0.010672396432402491,0.21148852209005134,0.6285714285714286,0.00881328479940243,1.7383091442404641,0.08215635598234397,0.0025134025124443626,175
rsi_bullish_divergence,10,0.01484604943299192,0.26870245689320565,0.64,0.012203467274216463,2.3208389363270427,0.020295538212999155,0.0035203975029045598,175
macd_bullish_cross,1,0.0009111774388813883,0.09507997687170994,0.5392857142857143,0.0006287311772038711,1.064381783769326,0.2871557825074068,0.00010880193601292554,280
macd_bullish_cross,3,0.0009510146742263383,0.056096143666348366,0.5928571428571429,3.906506160965148e-05,0.038504561300795596,0.9692853947903736,1.6313382611432559e-07,280
macd_bullish_cross,5,0.001568382188592135,0.07132448927524576,0.5785714285714286,5.840693724683743e-05,0.044874360216488884,0.9642074538342909,2.3008209759645126e-07,280
macd_bullish_cross,7,0.002414930274480418,0.10217202955669101,0.5842293906810035,0.00033481315495446977,0.24542262085195365,0.806129215591368,5.688804394110569e-06,279
macd_bullish_cross,10,0.003042318573063081,0.10060626911720612,0.5985663082437276,7.712240195118902e-05,0.048120167990726895,0.961620473090782,2.2050196823997226e-07,279
macd_bearish_cross,1,6.0455579683682223e-05,0.005665330724487769,0.4555160142348754,0.00038627075507551256,0.5910616468955249,0.5544791164008156,4.1206851949859846e-05,281
macd_bearish_cross,3,-0.0008008014788287503,-0.04065210706455857,0.4107142857142857,0.00011784553740439236,0.10067196458021727,0.9198108673056751,1.4845446971722964e-06,280
macd_bearish_cross,5,-0.0032675801090869603,-0.1462560327671735,0.38571428571428573,-0.001833389409786663,-1.4063352855582596,0.15962458696738346,0.00022670620076936654,280
macd_bearish_cross,7,-0.0027015709805625855,-0.10148413501759752,0.4142857142857143,-0.0006342955134996872,-0.4260024135666134,0.6701060873081283,2.0487260421697684e-05,280
macd_bearish_cross,10,-0.0035050094492099283,-0.10264527734414243,0.37857142857142856,-0.0005604781223070457,-0.3058981854927253,0.7596821675493409,1.1685661661209323e-05,280
